Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:18"
Zeitbezug:;MEZ
Messstellen-Name:;"Brücke oberhalb Mündung"
Messstellen-Nr.:;12857
Gewässer:;Alzkanal
Ostwert:;786788;Nordwert:;5344787;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2002-04-02 11:00:00";4,2;0,008;Geprueft
"2002-04-15 11:10:00";4,9;"< BG";Geprueft
"2002-04-29 10:55:00";3,5;"< BG";Geprueft
"2002-05-13 10:45:00";4,1;"< BG";Geprueft
"2002-05-27 11:20:00";4,4;"< BG";Geprueft
"2002-06-10 10:50:00";4,1;0,011;Geprueft
"2002-06-24 10:35:00";4,9;0,021;Geprueft
"2002-07-08 10:45:00";4,3;0,007;Geprueft
"2002-07-22 10:55:00";3,6;0,006;Geprueft
"2002-08-05 10:50:00";3,6;0,01;Geprueft
"2002-08-19 11:05:00";2,9;"< BG";Geprueft
"2002-09-02 11:00:00";3,4;"< BG";Geprueft
"2002-09-16 10:55:00";4,00;"< BG";Geprueft
"2002-09-30 11:00:00";3,9;"< BG";Geprueft
"2002-10-14 11:15:00";3,7;0,007;Geprueft
"2002-10-28 11:10:00";4,3;"< BG";Geprueft
"2002-11-11 10:25:00";4,3;"< BG";Geprueft
"2002-11-25 11:00:00";4,3;0,005;Geprueft
"2002-12-09 11:15:00";5,8;0,006;Geprueft
"2002-12-17 11:05:00";5,8;0,009;Geprueft
"2003-01-07 11:40:00";4,9;0,005;Geprueft
"2003-01-20 11:00:00";5,8;0,009;Geprueft
"2003-02-04 11:05:00";6,2;0,008;Geprueft
"2003-02-17 22:03:00";6,2;0,007;Geprueft
"2003-03-03 10:35:00";5,8;0,008;Geprueft
"2003-03-17 10:35:00";5,3;"< BG";Geprueft
"2003-03-31 11:10:00";4,9;"< BG";Geprueft
"2003-04-14 11:20:00";4,9;"< BG";Geprueft
"2003-04-28 11:25:00";4,9;"< BG";Geprueft
"2003-05-12 11:40:00";4,9;"< BG";Geprueft
"2003-05-26 11:10:00";4,9;0,008;Geprueft
"2003-06-10 11:15:00";5,3;0,01;Geprueft
"2003-06-23 10:50:00";5,3;0,005;Geprueft
"2003-07-07 10:45:00";6,2;0,014;Geprueft
"2003-07-21 12:10:00";6,2;0,008;Geprueft
"2003-08-04 10:50:00";6,2;0,008;Geprueft
"2003-08-18 10:40:00";6,2;0,009;Geprueft
"2003-09-01 11:30:00";5,3;"< BG";Geprueft
"2003-09-15 11:00:00";4,4;"< BG";Geprueft
"2003-09-29 10:50:00";4,4;0,008;Geprueft
"2003-10-13 11:10:00";3,3;0,005;Geprueft
"2003-10-27 11:30:00";4,4;"< BG";Geprueft
"2003-11-10 10:50:00";4,9;"< BG";Geprueft
"2003-11-24 11:00:00";5,8;"< BG";Geprueft
"2003-12-09 10:50:00";5,8;"< BG";Geprueft
"2003-12-22 10:50:00";5,8;"< BG";Geprueft
"2004-01-07 11:00:00";6,2;0,007;Geprueft
"2004-01-19 10:40:00";5,8;0,006;Geprueft
"2004-02-02 11:15:00";6,2;0,009;Geprueft
"2004-02-16 11:00:00";5,8;0,008;Geprueft
"2004-03-01 11:35:00";5,8;"< BG";Geprueft
"2004-03-18 11:00:00";5,8;"< BG";Geprueft
"2004-03-29 10:55:00";4,4;"< BG";Geprueft
"2004-04-13 10:35:00";4,1;0,005;Geprueft
"2004-04-26 10:45:00";4,9;"< BG";Geprueft
"2004-05-10 10:45:00";3,5;"< BG";Geprueft
"2004-05-24 11:15:00";4,3;0,006;Geprueft
"2004-06-07 11:05:00";4,2;0,009;Geprueft
"2004-06-21 10:45:00";3,7;"< BG";Geprueft
"2004-07-05 10:35:00";4,4;"< BG";Geprueft
"2004-07-19 11:20:00";4,3;"< BG";Geprueft
"2004-08-03 10:55:00";4,3;"< BG";Geprueft
"2004-08-16 10:50:00";4,4;0,006;Geprueft
"2004-08-30 11:20:00";4,1;"< BG";Geprueft
"2004-09-13 11:45:00";4,4;"< BG";Geprueft
"2004-09-27 11:35:00";4,1;"< BG";Geprueft
"2004-10-11 11:20:00";3,4;"< BG";Geprueft
"2004-10-25 11:10:00";4,4;"< BG";Geprueft
"2004-11-08 11:30:00";5,3;0,01;Geprueft
"2004-11-22 11:05:00";5,8;0,006;Geprueft
"2004-12-06 11:00:00";4,9;0,007;Geprueft
"2004-12-20 11:45:00";5,8;0,009;Geprueft
"2005-01-10 11:20:00";4,9;0,01;Geprueft
"2005-01-17 10:45:00";5,8;0,01;Geprueft
"2005-01-31 11:30:00";6,6;0,011;Geprueft
"2005-02-14 11:10:00";7,1;0,016;Geprueft
"2005-02-28 11:30:00";5,3;0,006;Geprueft
"2005-03-14 10:45:00";5,3;"< BG";Geprueft
"2005-03-29 11:20:01";5,3;0,008;Geprueft
"2005-04-11 10:50:01";4,9;"< BG";Geprueft
"2005-04-25 11:15:01";4,4;"< BG";Geprueft
"2005-05-09 11:00:01";4,4;"< BG";Geprueft
"2005-05-30 11:15:01";4,9;"< BG";Geprueft
"2005-06-06 11:15:01";4,9;"< BG";Geprueft
"2005-06-20 11:10:01";4,9;"< BG";Geprueft
"2005-07-04 11:25:01";4,3;0,006;Geprueft
"2005-07-18 11:00:01";3,1;"< BG";Geprueft
"2005-08-01 11:10:01";4,4;"< BG";Geprueft
"2005-08-16 11:10:01";3,5;0,007;Geprueft
"2005-08-29 10:55:01";3,6;"< BG";Geprueft
"2005-09-12 11:15:01";3,5;"< BG";Geprueft
"2005-09-26 10:45:01";4,4;"< BG";Geprueft
"2005-10-10 10:50:01";3,7;"< BG";Geprueft
"2005-10-24 11:20:01";5,3;0,006;Geprueft
"2005-11-07 10:50:01";5,8;0,01;Geprueft
"2005-11-23 11:15:01";5,8;0,006;Geprueft
"2005-12-05 11:00:01";7,1;0,014;Geprueft
"2005-12-19 11:20:01";6,6;0,01;Geprueft
"2006-01-09 10:45:01";4,9;0,011;Geprueft
"2006-01-16 11:55:01";7,1;0,01;Geprueft
"2006-01-30 10:35:01";7,1;0,007;Geprueft
"2006-03-13 11:20:01";6,6;0,005;Geprueft
"2006-03-27 10:30:01";6,2;0,012;Geprueft
"2006-04-03 11:10:01";4,9;0,008;Geprueft
"2006-04-24 11:10:01";4,4;"< BG";Geprueft
"2006-05-08 11:00:01";4,4;"< BG";Geprueft
"2006-05-15 11:30:01";4,00;"< BG";Geprueft
"2006-06-06 11:45:01";3,6;"< BG";Geprueft
"2006-06-20 11:20:01";4,9;0,006;Geprueft
"2006-07-03 10:55:01";4,9;0,005;Geprueft
"2006-07-17 11:10:01";4,4;0,005;Geprueft
"2006-07-31 11:15:01";5,3;0,006;Geprueft
"2006-08-21 11:00:01";3,9;"< BG";Geprueft
"2006-08-28 11:00:01";4,1;0,005;Geprueft
"2006-09-11 11:20:01";4,4;0,008;Geprueft
"2006-09-25 11:45:01";4,9;0,006;Geprueft
"2006-10-09 11:20:01";4,9;0,006;Geprueft
"2006-10-23 11:30:01";6,2;0,007;Geprueft
"2006-11-06 11:15:01";5,8;0,014;Geprueft
"2006-11-20 10:50:01";3,1;0,006;Geprueft
"2006-12-04 10:55:01";4,9;0,007;Geprueft
"2006-12-18 11:20:01";5,3;0,01;Geprueft
"2007-01-02 10:45:01";5,8;0,014;Geprueft
"2007-01-15 11:10:01";5,8;0,01;Geprueft
"2007-01-29 11:00:01";5,8;0,008;Geprueft
"2007-02-12 10:50:01";5,3;0,008;Geprueft
"2007-02-26 11:00:01";5,3;0,008;Geprueft
"2007-03-12 10:45:01";4,9;"< BG";Geprueft
"2007-03-26 10:40:01";4,9;"< BG";Geprueft
"2007-04-10 11:10:01";4,9;"< BG";Geprueft
"2007-04-23 11:25:01";4,9;"< BG";Geprueft
"2007-05-07 10:50:01";5,8;0,009;Geprueft
"2007-05-21 11:10:01";4,9;0,006;Geprueft
"2007-06-04 11:15:01";4,4;0,007;Geprueft
"2007-06-18 11:05:01";4,4;0,007;Geprueft
"2007-07-02 11:25:01";4,4;0,006;Geprueft
"2007-07-16 11:15:01";3,6;"< BG";Geprueft
"2007-07-30 11:05:01";4,00;"< BG";Geprueft
"2007-08-13 11:15:01";4,9;0,008;Geprueft
"2007-08-27 11:30:01";4,3;0,006;Geprueft
"2007-09-10 11:30:00";3,4;"< BG";Geprueft
"2007-09-24 10:55:00";3,7;"< BG";Geprueft
"2007-10-08 10:50:00";4,1;"< BG";Geprueft
"2007-10-22 10:51:00";4,9;"< BG";Geprueft
"2007-10-30 11:05:00";4,3;0,011;Geprueft
"2007-11-19 11:35:00";4,4;0,007;Geprueft
"2007-12-03 11:40:00";4,9;0,008;Geprueft
"2008-01-02 11:20:00";5,8;0,01;Geprueft
"2008-01-14 11:00:00";5,8;0,009;Geprueft
"2008-01-28 11:00:00";5,8;0,011;Geprueft
"2008-02-11 11:20:00";5,3;0,009;Geprueft
"2008-02-25 11:40:00";6,2;0,006;Geprueft
"2008-03-10 11:20:00";4,9;0,008;Geprueft
"2008-03-25 11:50:00";4,9;"< BG";Geprueft
"2008-04-07 11:35:00";4,9;"< BG";Geprueft
"2008-04-21 11:15:00";4,4;"< BG";Geprueft
"2008-05-05 11:35:00";4,3;"< BG";Geprueft
"2008-05-19 11:20:00";4,4;"< BG";Geprueft
"2008-06-02 12:20:00";3,9;"< BG";Geprueft
"2008-06-16 11:05:00";4,9;0,006;Geprueft
"2008-06-30 11:05:00";4,3;0,012;Geprueft
"2008-07-14 11:30:00";4,9;0,015;Geprueft
"2008-07-28 11:00:00";3,8;"< BG";Geprueft
"2008-08-11 11:40:00";3,8;0,005;Geprueft
"2008-08-26 10:40:00";3,9;0,006;Geprueft
"2008-09-08 11:45:00";4,9;0,006;Geprueft
"2008-09-22 13:10:00";4,9;"< BG";Geprueft
"2008-10-06 11:35:00";4,4;0,009;Geprueft
"2008-10-20 12:00:00";3,9;"< BG";Geprueft
"2008-11-03 11:20:00";5,3;0,006;Geprueft
"2008-11-17 12:40:00";5,3;0,009;Geprueft
"2008-12-01 12:00:00";6,2;0,008;Geprueft
"2008-12-15 12:05:00";5,8;0,009;Geprueft
"2009-01-07 11:03:00";5,3;0,009;Geprueft
"2009-01-12 12:25:00";5,8;0,011;Geprueft
"2009-01-26 11:35:00";5,8;0,013;Geprueft
"2009-02-09 11:50:00";6,2;0,01;Geprueft
"2009-02-23 11:30:00";6,6;0,008;Geprueft
"2009-03-10 09:57:00";5,8;0,012;Geprueft
"2009-03-23 11:20:00";4,4;0,006;Geprueft
"2009-04-06 11:25:00";4,00;0,005;Geprueft
"2009-04-20 11:00:00";4,00;"< BG";Geprueft
"2009-05-04 12:10:00";3,1;"< BG";Geprueft
"2009-05-18 11:45:00";3,9;"< BG";Geprueft
"2009-06-02 11:10:00";4,3;0,005;Geprueft
"2009-06-15 11:00:00";4,4;0,005;Geprueft
"2009-06-29 10:40:00";3,7;"< BG";Geprueft
"2009-07-13 11:10:00";4,1;"< BG";Geprueft
"2009-07-27 10:12:00";4,00;"< BG";Geprueft
"2009-08-10 11:50:00";4,1;"< BG";Geprueft
"2009-08-25 11:17:00";3,8;0,007;Geprueft
"2009-09-07 12:00:00";3,8;"< BG";Geprueft
"2009-09-21 11:50:00";4,00;"< BG";Geprueft
"2009-10-05 12:20:00";4,2;"< BG";Geprueft
"2009-10-19 11:50:00";3,9;0,007;Geprueft
"2009-11-03 10:28:00";4,1;0,01;Geprueft
"2009-11-16 11:30:00";4,9;0,007;Geprueft
"2009-11-30 11:00:00";4,4;0,006;Geprueft
"2009-12-14 11:15:00";4,9;0,008;Geprueft
"2010-01-11 11:00:00";6,2;0,008;Geprueft
"2010-02-08 11:25:00";6,2;0,01;Geprueft
"2010-02-22 10:50:00";6,6;0,008;Geprueft
"2010-03-08 11:40:00";5,8;0,005;Geprueft
"2010-03-22 12:10:00";5,8;;Geprueft
"2010-04-06 11:40:00";4,9;"< BG";Geprueft
"2010-04-20 12:40:00";4,9;"< BG";Geprueft
"2010-05-03 12:15:00";4,9;0,009;Geprueft
"2010-05-17 11:45:00";4,9;0,006;Geprueft
"2010-05-31 11:35:00";4,4;0,008;Geprueft
"2010-06-14 13:10:00";4,1;0,008;Geprueft
"2010-06-28 11:20:00";4,4;"< BG";Geprueft
"2010-07-12 11:45:00";4,9;0,006;Geprueft
"2010-07-26 11:40:00";4,00;"< BG";Geprueft
"2010-08-09 12:50:00";4,1;"< BG";Geprueft
"2010-08-23 13:40:00";4,2;0,005;Geprueft
"2010-09-07 12:00:00";3,9;"< BG";Geprueft
"2010-09-20 14:05:00";4,4;"< BG";Geprueft
"2010-10-04 11:20:00";4,9;"< BG";Geprueft
"2010-10-18 11:00:00";6,2;0,006;Geprueft
"2010-11-02 11:30:00";4,9;0,007;Geprueft
"2010-11-15 11:00:00";5,8;0,006;Geprueft
"2010-11-29 12:25:00";6,2;0,006;Geprueft
"2010-12-13 11:50:00";5,8;0,007;Geprueft
"2011-01-10 11:25:00";6,2;0,009;Geprueft
"2011-01-24 11:30:00";4,9;0,006;Geprueft
"2011-02-07 11:00:00";5,3;0,008;Geprueft
"2011-02-21 11:35:00";5,3;0,007;Geprueft
"2011-03-07 11:00:00";7,1;0,005;Geprueft
"2011-03-21 10:40:00";5,8;0,008;Geprueft
"2011-04-04 11:10:00";5,3;0,006;Geprueft
"2011-04-18 11:35:00";5,3;"< BG";Geprueft
"2011-05-02 11:00:00";6,6;0,005;Geprueft
"2011-05-16 10:55:00";5,3;0,01;Geprueft
"2011-05-30 10:45:00";4,9;0,007;Geprueft
"2011-06-14 11:30:00";4,9;0,005;Geprueft
"2011-06-27 10:45:00";4,4;"< BG";Geprueft
"2011-07-12 10:53:00";3,4;"< BG";Geprueft
"2011-07-25 11:10:00";3,5;0,006;Geprueft
"2011-08-08 11:45:00";3,9;0,014;Geprueft
"2011-08-22 11:35:00";3,6;"< BG";Geprueft
"2011-09-05 11:00:00";4,4;"< BG";Geprueft
"2011-09-20 10:45:00";4,1;0,013;Geprueft
"2011-10-04 12:00:00";4,9;"< BG";Geprueft
"2011-10-17 11:35:00";3,7;"< BG";Geprueft
"2011-11-02 11:00:00";4,9;0,007;Geprueft
"2011-11-14 11:05:00";5,3;0,006;Geprueft
"2011-11-28 11:20:00";6,6;"< BG";Geprueft
"2011-12-12 11:00:00";6,2;0,015;Geprueft
"2012-01-09 11:50:00";5,3;0,013;Geprueft
"2012-01-23 11:55:00";4,4;0,012;Geprueft
"2012-02-06 12:05:00";4,9;0,012;Geprueft
"2012-02-22 11:45:00";6,2;0,012;Geprueft
"2012-03-05 11:00:00";4,9;0,007;Geprueft
"2012-03-19 12:15:00";4,4;0,006;Geprueft
"2012-04-02 11:35:00";4,3;0,007;Geprueft
"2012-04-16 12:55:00";4,4;0,008;Geprueft
"2012-05-02 10:50:00";4,1;"< BG";Geprueft
"2012-05-15 11:25:00";4,2;"< BG";Geprueft
"2012-05-29 12:00:00";4,4;"< BG";Geprueft
"2012-06-11 11:50:00";3,5;"< BG";Geprueft
"2012-06-25 11:00:00";3,9;"< BG";Geprueft
"2012-07-09 12:00:00";4,2;"< BG";Geprueft
"2012-07-23 12:05:00";3,9;"< BG";Geprueft
"2012-08-06 11:20:00";4,2;0,009;Geprueft
"2012-08-21 11:55:00";4,3;0,006;Geprueft
"2012-09-03 11:20:00";3,6;0,008;Geprueft
"2012-09-17 11:55:00";3,8;0,006;Geprueft
"2012-09-24 11:25:00";3,3;0,006;Geprueft
"2012-10-08 11:35:00";4,9;0,012;Geprueft
"2012-10-22 12:45:00";4,1;"< BG";Geprueft
"2012-11-05 12:05:00";4,4;0,013;Geprueft
"2012-11-19 12:05:00";4,9;0,006;Geprueft
"2012-12-03 12:10:00";5,3;0,006;Geprueft
"2012-12-17 11:35:00";5,8;0,008;Geprueft
"2013-01-07 10:55:00";4,3;0,014;Geprueft
"2013-01-21 11:05:00";4,9;0,008;Geprueft
"2013-02-04 12:15:00";4,9;0,008;Geprueft
"2013-02-18 11:45:00";5,8;0,006;Geprueft
