Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"2001-10-01 09:35:00";0,018;2,7;Geprueft
"2001-10-18 09:45:00";0,005;3,5;Geprueft
"2001-10-30 09:50:00";0,006;2,7;Geprueft
"2001-11-13 09:35:00";0,012;2,7;Geprueft
"2001-11-29 09:40:00";0,015;3,1;Geprueft
"2001-12-11 09:50:00";0,012;3,1;Geprueft
"2001-12-27 08:50:00";0,015;3,5;Geprueft
"2004-03-10 13:45:00";0,005;4,1;Geprueft
"2004-03-24 10:25:00";0,012;3,9;Geprueft
"2004-05-11 08:30:00";0,01;3,1;Geprueft
"2004-06-04 10:40:00";0,009;2,7;Geprueft
"2004-12-21 10:00:00";0,01;3,9;Geprueft
"2005-01-18 09:10:00";0,007;3,7;Geprueft
"2005-03-01 15:10:00";0,009;4,1;Geprueft
"2005-05-10 09:45:00";0,006;3,1;Geprueft
"2005-08-23 09:00:01";"< BG";2,00;Geprueft
"2005-08-23 11:30:01";"< BG";1,9;Geprueft
"2005-08-24 12:45:00";0,007;2,5;Geprueft
"2005-11-30 11:30:00";"< BG";4,00;Geprueft
"2005-12-06 08:15:00";0,009;5,3;Geprueft
"2005-12-19 08:25:00";0,008;4,3;Geprueft
"2006-01-03 08:15:00";0,01;4,4;Geprueft
"2006-01-17 10:50:00";0,006;4,00;Geprueft
"2006-02-01 10:00:00";0,013;3,9;Geprueft
"2006-02-15 14:20:00";0,015;4,00;Geprueft
"2006-03-01 10:05:00";0,016;4,3;Geprueft
"2006-03-14 11:30:00";0,018;4,9;Geprueft
"2006-03-28 16:15:00";0,023;4,9;Geprueft
"2006-04-12 10:20:00";0,01;4,00;Geprueft
"2006-04-25 10:15:00";"< BG";2,6;Geprueft
"2006-05-08 09:45:00";"< BG";2,4;Geprueft
"2006-05-23 08:45:00";"< BG";2,00;Geprueft
"2006-06-06 08:30:00";0,007;2,5;Geprueft
"2006-06-27 09:15:00";0,006;2,6;Geprueft
"2006-07-05 12:50:00";"< BG";3,00;Geprueft
"2006-07-18 12:45:00";0,006;2,8;Geprueft
"2006-08-01 10:10:00";0,027;3,7;Geprueft
"2006-08-17 08:00:00";0,007;2,8;Geprueft
"2006-08-28 09:45:00";0,007;2,00;Geprueft
"2006-09-11 08:45:00";0,005;3,00;Geprueft
"2006-09-25 09:25:00";0,005;2,7;Geprueft
"2006-10-10 08:45:00";0,017;2,9;Geprueft
"2006-10-24 08:40:00";"< BG";2,7;Geprueft
"2006-11-06 09:15:00";"< BG";3,1;Geprueft
"2006-11-21 09:10:00";"< BG";3,00;Geprueft
"2006-12-04 13:25:00";"< BG";3,1;Geprueft
"2006-12-21 08:30:00";0,006;3,4;Geprueft
"2007-01-02 13:45:00";0,016;4,9;Geprueft
"2007-01-16 08:50:00";"< BG";3,2;Geprueft
"2007-01-30 12:55:00";0,009;3,4;Geprueft
"2007-02-12 15:45:01";"< BG";3,3;Geprueft
"2007-02-13 15:00:00";0,009;3,9;Geprueft
"2007-02-27 14:40:00";0,015;4,1;Geprueft
"2007-03-12 13:00:00";"< BG";3,5;Geprueft
"2007-03-12 15:45:00";"< BG";3,3;Geprueft
"2007-03-27 09:45:00";"< BG";3,7;Geprueft
"2007-04-10 09:00:00";"< BG";2,7;Geprueft
"2007-04-24 11:40:00";"< BG";2,4;Geprueft
"2007-05-07 08:40:00";"< BG";2,5;Geprueft
"2007-05-22 09:15:00";0,063;2,5;Geprueft
"2007-06-05 12:00:00";"< BG";2,3;Geprueft
"2007-06-19 14:25:00";0,006;2,4;Geprueft
"2007-07-04 09:15:00";0,021;2,3;Geprueft
"2007-07-13 14:00:01";0,012;2,4;Geprueft
"2007-07-17 07:50:00";0,013;2,7;Geprueft
"2007-07-31 08:35:00";0,009;2,2;Geprueft
"2007-08-13 14:00:00";0,012;2,4;Geprueft
"2007-08-28 08:55:00";"< BG";2,5;Geprueft
"2007-09-11 08:50:00";0,011;2,6;Geprueft
"2007-09-24 09:40:00";0,006;2,5;Geprueft
"2007-10-09 09:00:00";"< BG";2,7;Geprueft
"2007-10-22 10:30:00";"< BG";2,8;Geprueft
"2007-11-05 09:10:00";"< BG";3,00;Geprueft
"2007-11-20 08:45:00";0,006;3,1;Geprueft
"2007-12-04 14:45:00";0,01;3,00;Geprueft
"2007-12-18 14:00:00";0,013;2,9;Geprueft
"2008-01-02 09:20:00";0,007;3,1;Geprueft
"2008-01-14 09:10:00";0,008;3,3;Geprueft
"2008-01-28 09:10:00";0,005;3,3;Geprueft
"2008-02-12 15:05:00";0,014;3,3;Geprueft
"2008-02-26 09:00:00";"< BG";3,00;Geprueft
"2008-03-10 08:55:00";0,011;3,3;Geprueft
"2008-03-25 09:00:00";0,049;3,2;Geprueft
"2008-04-10 13:20:00";0,007;3,00;Geprueft
"2008-04-23 09:00:00";0,011;2,8;Geprueft
"2008-05-08 08:25:00";"< BG";2,00;Geprueft
"2008-05-20 10:00:00";"< BG";1,7;Geprueft
"2008-06-05 08:50:00";0,007;2,00;Geprueft
"2008-06-16 09:00:00";"< BG";2,2;Geprueft
"2008-06-30 09:00:00";"< BG";2,3;Geprueft
"2008-07-16 08:45:00";0,006;2,3;Geprueft
"2008-07-29 09:00:00";0,01;2,7;Geprueft
"2008-08-11 13:40:00";"< BG";2,1;Geprueft
"2008-08-26 09:00:00";"< BG";2,3;Geprueft
"2008-09-08 09:15:00";"< BG";2,9;Geprueft
"2008-09-23 10:00:00";"< BG";3,1;Geprueft
"2008-10-07 09:25:00";"< BG";2,7;Geprueft
"2008-10-20 08:45:00";"< BG";2,4;Geprueft
"2008-11-03 08:40:00";"< BG";2,4;Geprueft
"2008-11-17 08:45:00";0,007;2,8;Geprueft
"2008-12-02 08:50:00";"< BG";3,2;Geprueft
"2008-12-15 09:00:00";"< BG";3,00;Geprueft
"2009-01-07 09:10:00";0,008;3,2;Geprueft
"2009-01-14 08:45:00";0,007;3,1;Geprueft
"2009-01-27 09:40:00";0,014;3,1;Geprueft
"2009-02-03 13:10:00";0,009;3,3;Geprueft
"2009-02-10 15:15:00";0,018;3,7;Geprueft
"2009-02-23 11:00:00";0,006;3,7;Geprueft
"2009-03-11 15:00:00";0,013;4,4;Geprueft
"2009-03-24 09:00:00";0,019;4,4;Geprueft
"2009-04-08 14:45:00";"< BG";3,00;Geprueft
"2009-04-20 08:30:00";"< BG";2,4;Geprueft
"2009-05-06 09:00:00";"< BG";2,4;Geprueft
"2009-05-19 08:45:00";"< BG";2,00;Geprueft
"2009-06-04 08:40:00";"< BG";2,4;Geprueft
"2009-06-15 09:00:00";"< BG";2,5;Geprueft
"2009-06-29 09:15:00";0,007;2,4;Geprueft
"2009-07-14 09:00:00";0,007;2,5;Geprueft
"2009-07-28 13:50:00";0,02;2,7;Geprueft
"2009-08-11 08:20:00";0,012;3,2;Geprueft
"2009-08-25 09:00:00";"< BG";2,3;Geprueft
"2009-09-07 09:00:00";0,009;2,2;Geprueft
"2009-10-07 10:20:00";0,006;2,7;Geprueft
"2009-10-20 08:35:00";0,019;2,7;Geprueft
"2009-11-03 08:30:00";0,042;3,00;Geprueft
"2009-11-17 08:30:00";0,006;2,1;Geprueft
"2009-12-01 08:00:00";0,021;3,4;Geprueft
"2009-12-15 08:45:00";0,014;3,00;Geprueft
"2010-01-13 08:50:00";0,006;3,5;Geprueft
"2010-01-27 08:30:00";"< BG";3,5;Geprueft
"2010-02-10 08:30:00";"< BG";3,5;Geprueft
"2010-02-24 08:30:00";"< BG";4,2;Geprueft
"2010-03-10 08:30:00";0,009;3,9;Geprueft
"2010-03-24 08:30:00";0,006;3,5;Geprueft
"2010-04-07 14:15:00";0,008;3,00;Geprueft
"2010-04-21 09:50:00";"< BG";2,9;Geprueft
"2010-05-05 08:30:00";"< BG";2,7;Geprueft
"2010-05-20 08:40:00";"< BG";2,7;Geprueft
"2010-06-01 08:50:00";0,009;2,4;Geprueft
"2010-06-16 08:20:00";0,013;2,6;Geprueft
"2010-06-30 08:45:00";"< BG";3,00;Geprueft
"2010-07-15 08:00:00";"< BG";2,5;Geprueft
"2010-07-29 09:25:00";0,014;2,5;Geprueft
"2010-08-11 08:30:00";0,007;2,7;Geprueft
"2010-08-26 09:00:00";"< BG";2,2;Geprueft
"2010-09-09 08:45:00";0,013;3,5;Geprueft
"2010-09-23 14:10:00";"< BG";2,9;Geprueft
"2010-10-06 08:45:00";"< BG";4,4;Geprueft
"2010-10-21 08:35:00";0,045;3,1;Geprueft
"2010-11-03 08:30:00";0,006;2,6;Geprueft
"2010-11-18 08:50:00";0,007;2,8;Geprueft
"2010-12-01 08:30:00";0,007;3,3;Geprueft
"2010-12-14 08:05:00";0,01;3,00;Geprueft
"2011-01-12 08:30:00";0,01;3,3;Geprueft
"2011-01-26 08:30:00";0,013;3,5;Geprueft
"2011-02-09 09:00:00";0,006;3,9;Geprueft
"2011-02-21 09:00:00";"< BG";3,7;Geprueft
"2011-03-09 08:45:00";"< BG";3,6;Geprueft
"2011-03-22 09:00:00";0,005;3,4;Geprueft
"2011-04-07 08:00:00";"< BG";2,6;Geprueft
"2011-04-20 09:30:00";"< BG";2,7;Geprueft
"2011-05-05 09:00:00";"< BG";2,5;Geprueft
"2011-05-18 09:00:00";"< BG";2,5;Geprueft
"2011-05-30 09:00:00";"< BG";2,00;Geprueft
"2011-06-14 09:00:00";0,006;2,6;Geprueft
"2011-06-27 09:10:00";0,009;2,4;Geprueft
"2011-07-13 08:45:00";0,01;2,3;Geprueft
"2011-07-27 08:30:00";0,007;2,3;Geprueft
"2011-08-10 08:45:00";0,009;1,9;Geprueft
"2011-08-24 07:30:00";"< BG";2,4;Geprueft
"2011-09-07 08:30:00";0,012;2,2;Geprueft
"2011-09-21 08:15:00";0,007;2,3;Geprueft
"2011-10-04 08:05:00";"< BG";2,1;Geprueft
"2011-10-19 08:30:00";"< BG";2,6;Geprueft
"2011-11-02 08:30:00";"< BG";2,7;Geprueft
"2011-11-16 09:00:00";"< BG";2,2;Geprueft
"2011-11-30 09:20:00";"< BG";2,4;Geprueft
"2011-12-13 08:30:00";0,032;3,3;Geprueft
"2011-12-27 08:15:00";0,011;3,4;Geprueft
"2012-01-11 09:10:00";0,017;3,3;Geprueft
"2012-01-24 08:45:00";0,015;3,1;Geprueft
"2012-02-08 08:45:00";"< BG";3,6;Geprueft
"2012-02-23 08:30:00";0,011;3,5;Geprueft
"2012-03-07 08:30:00";"< BG";3,1;Geprueft
"2012-03-21 08:45:00";"< BG";2,7;Geprueft
"2012-04-04 09:05:00";"< BG";2,1;Geprueft
"2012-04-19 08:50:00";"< BG";2,6;Geprueft
"2012-05-03 09:00:00";"< BG";1,7;Geprueft
"2012-05-15 08:15:00";"< BG";2,1;Geprueft
"2012-05-31 08:30:00";"< BG";2,00;Geprueft
"2012-06-14 08:25:00";0,006;1,8;Geprueft
"2012-06-28 09:15:00";"< BG";1,9;Geprueft
"2012-07-11 09:15:00";0,009;1,9;Geprueft
"2012-07-25 09:05:00";"< BG";2,00;Geprueft
"2012-08-09 08:20:00";"< BG";2,2;Geprueft
"2012-08-22 08:30:00";"< BG";1,9;Geprueft
"2012-09-06 08:50:00";0,007;2,4;Geprueft
"2012-09-18 08:45:00";0,006;2,4;Geprueft
"2012-10-04 08:10:00";"< BG";2,3;Geprueft
"2012-10-18 08:00:00";0,012;2,4;Geprueft
"2012-10-30 08:15:00";0,008;2,9;Geprueft
"2012-11-15 08:00:00";"< BG";2,4;Geprueft
"2012-11-27 08:00:00";"< BG";2,7;Geprueft
"2012-12-11 08:00:00";0,01;3,1;Geprueft
"2012-12-19 08:00:00";0,016;3,5;Geprueft
"2013-01-09 08:25:00";0,008;3,1;Geprueft
"2013-01-23 08:15:00";0,009;3,3;Geprueft
"2013-02-06 14:15:00";0,011;3,3;Geprueft
"2013-02-18 09:05:00";"< BG";3,6;Geprueft
"2013-03-04 07:30:00";"< BG";3,4;Geprueft
"2013-03-20 08:00:00";"< BG";3,4;Geprueft
"2013-04-03 13:15:00";0,006;3,2;Geprueft
"2013-04-17 07:00:00";"< BG";2,3;Geprueft
"2013-04-29 08:25:00";"< BG";2,2;Geprueft
"2013-05-16 07:15:00";"< BG";2,1;Geprueft
"2013-05-28 07:10:00";0,007;2,4;Geprueft
"2013-06-12 14:20:00";0,009;2,2;Geprueft
"2013-06-26 14:05:00";0,02;2,3;Geprueft
"2013-07-11 08:00:00";"< BG";2,4;Geprueft
"2013-07-24 14:30:00";"< BG";3,5;Geprueft
"2013-08-08 08:00:00";"< BG";2,8;Geprueft
"2013-08-21 13:45:00";0,006;2,4;Geprueft
"2013-08-21 14:05:00";0,006;2,4;Geprueft
"2013-09-04 07:15:00";0,01;2,5;Geprueft
"2013-09-18 08:15:00";0,013;2,2;Geprueft
"2013-10-01 07:40:00";0,007;2,8;Geprueft
"2013-10-16 13:05:00";0,018;2,3;Geprueft
"2013-10-30 07:55:00";"< BG";3,00;Geprueft
"2013-11-14 13:50:00";0,008;2,7;Geprueft
"2013-11-27 07:50:00";0,009;2,8;Geprueft
"2013-12-11 12:55:00";0,007;3,4;Geprueft
"2013-12-17 09:20:00";"< BG";3,3;Geprueft
"2014-01-29 08:45:00";"< BG";3,4;Geprueft
"2014-02-26 15:05:00";"< BG";3,4;Geprueft
"2014-03-24 08:05:00";0,005;2,9;Geprueft
"2014-04-24 13:55:00";"< BG";2,2;Geprueft
"2014-05-15 07:45:00";0,007;2,2;Geprueft
"2014-06-11 07:30:00";"< BG";2,1;Geprueft
"2014-07-22 10:40:00";0,044;2,4;Geprueft
"2014-08-13 07:40:00";0,008;2,1;Geprueft
"2014-09-10 13:40:00";0,015;2,3;Geprueft
"2014-10-13 07:40:00";"< BG";1,8;Geprueft
"2014-11-05 13:40:00";"< BG";1,9;Geprueft
"2014-12-08 08:20:00";"< BG";2,7;Geprueft
"2015-01-15 08:30:00";0,011;2,6;Geprueft
"2015-02-11 14:25:00";0,005;3,5;Geprueft
"2015-03-18 08:15:00";"< BG";2,7;Geprueft
"2015-04-08 14:35:00";0,008;2,7;Geprueft
"2015-05-06 08:35:00";"< BG";1,9;Geprueft
"2015-06-01 14:00:00";"< BG";1,8;Geprueft
"2015-07-02 08:20:00";"< BG";3,1;Geprueft
"2015-07-28 13:25:00";"< BG";2,4;Geprueft
"2015-08-24 07:40:00";"< BG";2,00;Geprueft
"2015-09-23 09:50:00";0,005;2,2;Geprueft
"2015-10-21 07:50:00";0,005;2,00;Geprueft
"2015-11-18 13:55:00";"< BG";1,9;Geprueft
"2015-12-16 14:15:00";"< BG";3,1;Geprueft
"2016-01-13 13:05:00";0,011;3,1;Geprueft
"2016-02-01 08:40:00";0,011;2,3;Geprueft
"2016-02-29 13:00:00";"< BG";2,8;Geprueft
"2016-03-29 08:20:00";"< BG";2,7;Geprueft
"2016-04-27 08:40:00";0,01;2,2;Geprueft
"2016-06-01 11:20:00";0,006;1,8;Geprueft
"2016-06-27 08:15:00";0,008;1,6;Geprueft
"2016-07-25 13:35:00";0,006;1,6;Geprueft
"2016-08-22 08:00:00";0,005;2,00;Geprueft
"2016-09-19 12:35:00";0,016;1,9;Geprueft
"2016-10-17 08:10:00";"< BG";2,2;Geprueft
"2016-11-14 08:05:00";0,007;2,2;Geprueft
"2016-12-12 08:15:00";"< BG";2,6;Geprueft
"2017-01-11 08:10:00";"< BG";4,3;Geprueft
"2017-02-01 13:00:00";0,027;4,00;Geprueft
"2017-02-08 08:30:00";0,008;3,3;Geprueft
"2017-03-08 13:50:00";0,009;2,9;Geprueft
"2017-04-05 08:00:00";"< BG";2,3;Geprueft
"2017-05-03 13:55:00";"< BG";2,3;Geprueft
"2017-05-29 08:30:00";"< BG";1,7;Geprueft
"2017-06-28 07:35:00";"< BG";1,8;Geprueft
"2017-07-31 08:00:00";0,01;2,00;Geprueft
"2017-08-23 07:45:00";"< BG";2,00;Geprueft
"2017-09-20 08:00:00";0,009;2,00;Geprueft
"2017-10-16 08:10:00";"< BG";2,2;Geprueft
"2017-11-13 08:10:00";0,025;2,3;Geprueft
"2017-12-13 08:05:00";0,012;3,00;Geprueft
"2018-01-02 08:05:00";0,009;2,8;Geprueft
"2018-01-30 08:15:00";0,005;2,8;Geprueft
"2018-02-26 08:15:00";"< BG";3,1;Geprueft
"2018-03-22 09:15:00";"< BG";3,1;Geprueft
"2018-04-18 08:40:00";"< BG";1,7;Geprueft
"2018-05-22 12:00:00";"< BG";1,7;Geprueft
"2018-06-21 08:15:00";"< BG";1,8;Geprueft
"2018-07-19 08:20:00";"< BG";1,8;Geprueft
"2018-08-13 08:15:00";"< BG";2,2;Geprueft
"2018-09-06 08:37:00";"< BG";2,00;Geprueft
"2018-10-08 08:45:00";"< BG";2,1;Geprueft
"2018-11-05 08:30:00";"< BG";2,3;Geprueft
"2018-12-05 08:10:00";0,023;4,4;Geprueft
"2019-01-17 08:05:00";0,009;3,8;Geprueft
"2019-02-14 08:15:00";"< BG";4,00;Geprueft
"2019-03-14 08:02:00";"< BG";3,2;Geprueft
"2019-04-11 08:00:00";"< BG";2,1;Geprueft
"2019-05-09 08:00:00";"< BG";1,9;Geprueft
"2019-06-06 08:05:00";"< BG";1,7;Geprueft
"2019-07-04 00:00:00";"< BG";1,7;Geprueft
"2019-08-01 08:05:00";"< BG";2,2;Geprueft
"2019-08-29 08:00:00";"< BG";2,8;Geprueft
"2019-09-26 07:55:00";"< BG";2,2;Geprueft
"2019-10-23 08:00:00";"< BG";2,2;Geprueft
"2019-11-28 08:05:00";"< BG";2,9;Geprueft
"2019-12-17 08:05:00";"< BG";2,6;Geprueft
"2020-01-09 08:05:00";0,005;3,3;Geprueft
"2020-02-13 08:00:00";0,005;2,9;Geprueft
"2020-03-10 08:00:00";"< BG";2,9;Geprueft
"2020-04-01 12:10:00";"< BG";2,9;Geprueft
"2020-04-08 08:00:00";"< BG";2,1;Geprueft
"2020-05-07 08:00:00";"< BG";1,7;Geprueft
"2020-06-16 08:10:00";0,007;1,6;Geprueft
"2020-07-06 09:45:00";"< BG";1,9;Geprueft
"2020-08-05 07:50:00";0,011;1,8;Geprueft
"2020-09-14 08:05:00";"< BG";2,1;Geprueft
"2020-10-05 08:45:00";"< BG";1,8;Geprueft
"2020-11-02 08:15:00";"< BG";2,1;Geprueft
"2020-12-09 08:00:00";"< BG";2,8;Geprueft
"2021-01-25 07:58:00";"< BG";3,3;Geprueft
"2021-02-17 08:05:00";0,012;3,5;Geprueft
"2021-03-02 12:40:00";"< BG";3,1;Geprueft
"2021-03-15 08:05:00";0,005;3,00;Geprueft
"2021-04-12 09:00:00";"< BG";2,1;Geprueft
"2021-05-27 08:07:00";"< BG";2,1;Geprueft
"2021-06-22 08:03:00";"< BG";1,6;Geprueft
"2021-07-07 08:05:00";"< BG";1,8;Geprueft
"2021-08-10 08:15:00";0,005;1,9;Geprueft
"2021-09-15 08:20:00";"< BG";2,6;Geprueft
"2021-10-21 08:15:00";"< BG";2,2;Geprueft
"2021-11-10 08:15:00";"< BG";8,3;Geprueft
"2021-12-13 08:00:00";0,007;2,9;Geprueft
