Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"1986-08-13 10:30:00";0,042;;Geprueft
"1986-08-27 15:20:00";0,056;;Geprueft
"1986-09-10 11:15:00";0,081;;Geprueft
"1986-09-24 14:35:00";0,091;;Geprueft
"1986-10-08 16:40:00";0,145;;Geprueft
"1986-10-22 15:30:00";0,051;;Geprueft
"1986-11-05 13:45:00";0,065;;Geprueft
"1986-11-20 12:30:00";0,084;;Geprueft
"1986-12-04 09:55:00";0,096;;Geprueft
"1986-12-17 13:15:00";0,213;;Geprueft
"1987-01-02 10:05:00";0,078;;Geprueft
"1987-01-14 10:50:00";0,062;;Geprueft
"1987-01-28 15:50:00";0,104;;Geprueft
"1987-02-11 13:45:00";0,05;;Geprueft
"1987-02-25 12:45:00";0,062;;Geprueft
"1987-03-12 13:10:00";0,044;;Geprueft
"1987-03-27 11:45:00";0,046;;Geprueft
"1987-04-08 13:15:00";0,029;;Geprueft
"1987-04-22 09:30:00";0,02;;Geprueft
"1987-05-06 14:10:00";0,033;;Geprueft
"1987-05-20 11:45:00";0,021;;Geprueft
"1987-06-03 13:35:00";0,019;;Geprueft
"1987-06-16 08:45:00";0,028;;Geprueft
"1987-07-01 15:30:00";0,011;;Geprueft
"1987-07-20 13:30:00";0,024;;Geprueft
"1987-07-30 14:10:00";0,034;;Geprueft
"1987-08-12 17:00:00";0,014;;Geprueft
"1987-08-26 15:45:00";0,039;;Geprueft
"1987-09-09 15:00:00";0,03;;Geprueft
"1987-09-23 13:00:00";0,051;;Geprueft
"1987-10-08 16:45:00";0,048;;Geprueft
"1987-10-21 11:00:00";0,031;;Geprueft
"1987-11-04 12:45:00";0,044;;Geprueft
"1987-11-20 09:15:00";0,046;;Geprueft
"1987-12-02 14:35:00";0,066;;Geprueft
"1987-12-16 08:30:00";0,06;;Geprueft
"1987-12-30 10:30:00";0,084;;Geprueft
"1988-01-12 14:15:00";0,03;;Geprueft
"1988-01-27 10:25:00";0,1;;Geprueft
"1988-02-10 12:00:00";0,09;;Geprueft
"1988-02-24 16:15:00";0,14;;Geprueft
"1988-03-10 17:00:00";0,07;;Geprueft
"1988-03-24 14:35:00";0,03;;Geprueft
"1988-04-06 15:30:00";0,02;;Geprueft
"1988-04-20 16:30:00";0,03;;Geprueft
"1988-05-05 11:30:00";0,02;;Geprueft
"1988-05-17 16:55:00";0,02;;Geprueft
"1988-06-01 14:00:00";0,03;;Geprueft
"1988-06-15 15:30:00";0,02;;Geprueft
"1988-06-29 16:25:00";0,04;;Geprueft
"1988-07-14 15:30:00";0,04;;Geprueft
"1988-07-27 11:15:00";0,06;;Geprueft
"1988-08-10 18:10:00";0,05;;Geprueft
"1988-08-24 15:20:00";0,03;;Geprueft
"1988-09-07 15:15:00";0,03;;Geprueft
"1988-09-21 10:00:00";0,04;;Geprueft
"1988-10-06 16:00:00";0,1;;Geprueft
"1988-10-19 10:50:00";0,04;;Geprueft
"1988-11-03 15:30:00";0,05;;Geprueft
"1988-11-21 17:15:00";0,03;;Geprueft
"1988-11-30 10:50:00";0,09;;Geprueft
"1988-12-14 13:45:00";0,03;;Geprueft
"1988-12-28 16:15:00";0,03;;Geprueft
"1989-01-10 14:40:00";0,028;;Geprueft
"1989-01-25 11:45:00";0,037;;Geprueft
"1989-02-08 10:30:00";0,057;;Geprueft
